100
10

1	3
3	36
1	49
18	21
22	48
10	13
12	23
5	43
23	5
36	37

37	42
42	29
17	39
47	1
43	4
2	28
13	46
48	44
20	25
30	18
28	31
47	45
9	22
16	15
43	50
7	6
30	14
2	18
28	8
32	48
35	31
6	43
43	40
27	16
39	14
16	20
14	19
13	24
11	15
12	13
20	18
15	14
18	20
10	22
19	18
19	20
13	15
10	16
13	13
20	23
16	19
12	18
13	16
19	19
12	17
18	23
10	15
12	20
12	24
15	24
41	24
45	24
39	28
45	29
44	31
43	25
39	20
37	25
38	23
37	29
45	30
43	26
45	20
38	22
40	27
42	20
42	21
34	24
44	26
40	25
40	29
45	31
43	29
40	23
35	27
18	40
19	37
20	45
18	37
21	43
17	34
19	34
22	45
26	43
20	39
17	35
26	44
27	39
24	39
27	40
20	38
24	44
22	37
24	43
24	38
17	36
26	41
24	45
21	44
25	43

70

590
440
450
510
450
510
440
590
440
510

12
19
16
13
13
16
18
11
20
17
20
18
14
11
19
18
18
19
13
15
16
12
19
12
17
17
19
18
12
16
18
15
20
12
11
15
12
17
14
15
15
19
11
20
11
17
17
12
15
13
16
11
13
12
11
17
14
17
20
15
11
19
20
15
20
20
15
19
13
11
16
19
17
13
13
11
16
19
11
20
16
18
13
11
16
16
16
18
18
13
20
12
19
15
20
12
16
19
12
14

53
41
49
42
44
51
55
56
48
51

1000

0
